"iso3c","year","spei","Normal","Severe.Dry","Severe.Wet"
"ARE",2015,-0.964771167666186,0.871527777777778,0.128472222222222,NA
"ARE",2016,-1.01358186209755,0.920138888888889,0.0798611111111111,NA
"ARE",2017,-1.06115131536569,0.871527777777778,0.125,0.00347222222222222
"ARE",2018,-1.03491492307292,0.916666666666667,0.0833333333333333,NA
"ARG",2000,0.60498688639369,0.954084675014908,0.00126714370900417,0.0446481812760883
"ARG",2001,0.435770818047919,0.951848539057841,0.00663387000596303,0.0415175909361956
"ARG",2002,0.502962313811279,0.944394752534287,0.00275790101371497,0.0528473464519976
"ARG",2003,-0.128841504746458,0.959001118151323,0.0394334699962728,0.00156541185240403
"ARG",2004,-0.0997783237475478,0.966457960644007,0.022510435301133,0.0110316040548599
"ARG",2005,0.0227400419197001,0.970855694692904,0.0167710196779964,0.0123732856290996
